,Number of targets,Relation,Target 1,Target 2
EE1,1,negative,0.9279999999999999,
EE2,1,positive,,51.4
EW1,1,positive,,265.7579346
EW2,2,negative,25.0,75.0
SL1,1,negative,5.0,
SL2,1,positive,,11.9
ME1,1,negative,0.16968536399999998,
ME2,1,negative,5.0,
EQ1,1,negative,10.0,
EQ2,1,negative,0.0,
EQ3,1,negative,0.001752675,
GE1,1,negative,0.10181212240598955,
GE2,1,negative,0.0,
GE3,1,negative,0.0,
BE1,1,positive,,100.0
BE2,1,positive,,17.0
BE3,1,positive,,428.688
CV1,1,positive,,1.0
CV2,1,positive,,100.0
CV3,1,positive,,13.5
GV1,1,positive,,37.944048794713
GT1,1,positive,,18.279115509743377
GJ1,1,positive,,0.14429402067494418
GN1,1,positive,,0.05123688571908845
AB1,1,positive,,100.0
AB2,1,positive,,100.0
AB3,1,positive,,100.0
GB1,1,positive,,50.0
GB2,1,negative,1.0,
GB3,1,positive,,100.0
SE1,1,negative,0.8613147418834485,
SE2,1,negative,1.0,
SE3,1,negative,0.0,
SP1,1,positive,,100.0
SP2,1,positive,,100.0
SP3,1,negative,0.0,
