ISO,Year,Value,Variable,Description,Source,URL
LKA,1990,527.6063584473836,EQ2,"DALYs (Disability-Adjusted Life Years), Rate, Age-standardized, Unsafe water source",GHD,http://ghdx.healthdata.org/gbd-results-tool?params=gbd-api-2017-permalink/b6989accc192c6a5f121a8204b88f819
LKA,1991,465.6630133476606,EQ2,"DALYs (Disability-Adjusted Life Years), Rate, Age-standardized, Unsafe water source",GHD,http://ghdx.healthdata.org/gbd-results-tool?params=gbd-api-2017-permalink/b6989accc192c6a5f121a8204b88f819
LKA,1992,426.44502881013045,EQ2,"DALYs (Disability-Adjusted Life Years), Rate, Age-standardized, Unsafe water source",GHD,http://ghdx.healthdata.org/gbd-results-tool?params=gbd-api-2017-permalink/b6989accc192c6a5f121a8204b88f819
LKA,1993,384.2399963199436,EQ2,"DALYs (Disability-Adjusted Life Years), Rate, Age-standardized, Unsafe water source",GHD,http://ghdx.healthdata.org/gbd-results-tool?params=gbd-api-2017-permalink/b6989accc192c6a5f121a8204b88f819
LKA,1994,358.64956352640985,EQ2,"DALYs (Disability-Adjusted Life Years), Rate, Age-standardized, Unsafe water source",GHD,http://ghdx.healthdata.org/gbd-results-tool?params=gbd-api-2017-permalink/b6989accc192c6a5f121a8204b88f819
LKA,1995,331.40910918876625,EQ2,"DALYs (Disability-Adjusted Life Years), Rate, Age-standardized, Unsafe water source",GHD,http://ghdx.healthdata.org/gbd-results-tool?params=gbd-api-2017-permalink/b6989accc192c6a5f121a8204b88f819
LKA,1996,307.63363748259104,EQ2,"DALYs (Disability-Adjusted Life Years), Rate, Age-standardized, Unsafe water source",GHD,http://ghdx.healthdata.org/gbd-results-tool?params=gbd-api-2017-permalink/b6989accc192c6a5f121a8204b88f819
LKA,1997,288.02679529934966,EQ2,"DALYs (Disability-Adjusted Life Years), Rate, Age-standardized, Unsafe water source",GHD,http://ghdx.healthdata.org/gbd-results-tool?params=gbd-api-2017-permalink/b6989accc192c6a5f121a8204b88f819
LKA,1998,260.5782275532893,EQ2,"DALYs (Disability-Adjusted Life Years), Rate, Age-standardized, Unsafe water source",GHD,http://ghdx.healthdata.org/gbd-results-tool?params=gbd-api-2017-permalink/b6989accc192c6a5f121a8204b88f819
LKA,1999,226.1133159343253,EQ2,"DALYs (Disability-Adjusted Life Years), Rate, Age-standardized, Unsafe water source",GHD,http://ghdx.healthdata.org/gbd-results-tool?params=gbd-api-2017-permalink/b6989accc192c6a5f121a8204b88f819
LKA,2000,209.69679586647416,EQ2,"DALYs (Disability-Adjusted Life Years), Rate, Age-standardized, Unsafe water source",GHD,http://ghdx.healthdata.org/gbd-results-tool?params=gbd-api-2017-permalink/b6989accc192c6a5f121a8204b88f819
